Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"BUS_MV_63", 12.47, 1,     6913.6,  -37.2,   0.96028, 2,     6913.6, -157.2,   0.96028, 3,     6913.6,   82.8,   0.96028
"BUS_MV_64", 12.47, 1,    6913.57,  -37.2,   0.96028, 2,    6913.57, -157.2,   0.96028, 3,    6913.57,   82.8,   0.96028
"BUS_MV_66", 12.47, 1,    6913.36,  -37.2,   0.96025, 2,    6913.36, -157.2,   0.96025, 3,    6913.36,   82.8,   0.96025
"BUS_MV_68", 12.47, 1,    6912.93,  -37.2,   0.96019, 2,    6912.93, -157.2,   0.96019, 3,    6912.93,   82.8,   0.96019
"BUS_MV_67", 12.47, 1,    6913.32,  -37.2,   0.96024, 2,    6913.32, -157.2,   0.96024, 3,    6913.32,   82.8,   0.96024
"BUS_MV_69", 12.47, 1,    6912.91,  -37.2,   0.96019, 2,    6912.91, -157.2,   0.96019, 3,    6912.91,   82.8,   0.96019
"BUS_MV_70", 12.47, 1,    6912.46,  -37.2,   0.96012, 2,    6912.46, -157.2,   0.96012, 3,    6912.46,   82.8,   0.96012
"BUS_MV_71", 12.47, 1,     6912.4,  -37.2,   0.96011, 2,     6912.4, -157.2,   0.96011, 3,     6912.4,   82.8,   0.96011
"BUS_MV_72", 12.47, 1,    6912.41,  -37.2,   0.96012, 2,    6912.41, -157.2,   0.96012, 3,    6912.41,   82.8,   0.96012
"BUS_MV_73", 12.47, 1,     6912.1,  -37.2,   0.96007, 2,     6912.1, -157.2,   0.96007, 3,     6912.1,   82.8,   0.96007
"BUS_MV_74", 12.47, 1,    6912.06,  -37.2,   0.96007, 2,    6912.06, -157.2,   0.96007, 3,    6912.06,   82.8,   0.96007
"BUS_MV_75", 12.47, 1,    6911.78,  -37.2,   0.96003, 2,    6911.78, -157.2,   0.96003, 3,    6911.78,   82.8,   0.96003
"BUS_MV_76", 12.47, 1,    6911.53,  -37.2,   0.95999, 2,    6911.53, -157.2,   0.95999, 3,    6911.53,   82.8,   0.95999
"BUS_MV_80", 12.47, 1,    6911.69,  -37.2,   0.96002, 2,    6911.69, -157.2,   0.96002, 3,    6911.69,   82.8,   0.96002
