Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.LINE_41_43, 3276.073, 3276.014, 3276.073, 3276.014, 0, 0
Line.LINE_43_44, 1.022462, 0.9629094, 1.022462, 0.9629094, 0, 0
Line.LINE_43_45, 3095.855, 3095.796, 3095.855, 3095.796, 0, 0
Line.LINE_45_46, 0.3427171, 0.2831619, 0.3427171, 0.2831619, 0, 0
Line.LINE_45_47, 3095.855, 3095.796, 3095.855, 3095.796, 0, 0
Line.LINE_47_48, 0.5082136, 0.4486927, 0.5082136, 0.4486927, 0, 0
Line.LINE_47_49, 14.87646, 14.81693, 14.87646, 14.81693, 0, 0
Line.LINE_47_52, 2608.199, 2608.139, 2608.199, 2608.139, 0, 0
Line.LINE_49_50, 2.46303, 2.403513, 2.46303, 2.403513, 0, 0
Line.LINE_49_51, 5.233118, 5.173597, 5.233118, 5.173597, 0, 0
Line.LINE_52_53, 13.47062, 13.41112, 13.47062, 13.41112, 0, 0
Line.LINE_52_54, 2246.789, 2246.729, 2246.789, 2246.729, 0, 0
Line.LINE_54_55, 77.65821, 77.59873, 77.65821, 77.59873, 0, 0
Line.LINE_54_58, 1489.029, 1488.969, 1489.029, 1488.969, 0, 0
Line.LINE_55_56, 1.021056, 0.961586, 1.021056, 0.961586, 0, 0
Line.LINE_55_57, 7.559947, 7.500468, 7.559947, 7.500468, 0, 0
Line.LINE_58_59, 102.1834, 102.1239, 102.1834, 102.1239, 0, 0
Line.LINE_58_65, 811.0757, 811.0162, 811.0757, 811.0162, 0, 0
Line.LINE_59_60, 16.59128, 16.53181, 16.59128, 16.53181, 0, 0
Line.LINE_59_62, 36.42533, 36.36587, 36.42533, 36.36587, 0, 0
Line.LINE_60_61, 2.895482, 2.836011, 2.895482, 2.836011, 0, 0
Line.LINE_62_63, 13.65767, 13.59821, 13.65767, 13.59821, 0, 0
Line.LINE_63_64, 2.138301, 2.078838, 2.138301, 2.078838, 0, 0
Line.LINE_65_66, 12.61611, 12.55665, 12.61611, 12.55665, 0, 0
Line.LINE_65_68, 621.38, 621.3205, 621.38, 621.3205, 0, 0
Line.LINE_66_67, 3.483241, 3.423788, 3.483241, 3.423788, 0, 0
Line.LINE_68_69, 1.188018, 1.128562, 1.188018, 1.128562, 0, 0
Line.LINE_68_70, 568.2284, 568.1689, 568.2284, 568.1689, 0, 0
Line.LINE_70_71, 9.705945, 9.646508, 9.705945, 9.646508, 0, 0
Line.LINE_70_72, 5.8515, 5.792061, 5.8515, 5.792061, 0, 0
Line.LINE_70_73, 335.0059, 334.9464, 335.0059, 334.9464, 0, 0
Line.LINE_73_74, 3.765146, 3.705701, 3.765146, 3.705701, 0, 0
Line.LINE_73_75, 267.741, 267.6815, 267.741, 267.6815, 0, 0
Line.LINE_75_76, 149.2453, 149.1858, 149.2453, 149.1858, 0, 0
Line.LINE_75_80, 17.19153, 17.13211, 17.19153, 17.13211, 0, 0
Line.LINE_76_77, 7.997049, 7.937615, 7.997049, 7.937615, 0, 0
Line.LINE_76_79, 5.682438, 5.622999, 5.682438, 5.622999, 0, 0
Line.LINE_77_78, 7.997047, 7.937618, 7.997047, 7.937618, 0, 0
Line.LINE_80_81, 1.246181, 1.186752, 1.246181, 1.186752, 0, 0
